#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos netos
55002,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,10000.0,0.0,10000.0,4045.53
59901,Altres ingressos patrimonials. Col. Econòmiques IGA,0.0,0.0,0.0,0.0
61900,Alienació d'altres inversions reals,0.0,0.0,0.0,0.0
68000,REINTEGRAMENT OPERACIONS D'EXERCICIS TANCATS.,0.0,0.0,0.0,141650.05
72000,Estat - Carreteres,5251580.0,0.0,5251580.0,0.0
72002,De l'administració general de l'estat,0.0,0.0,0.0,-198542.45
72390,"Transferències capital de societats, EPEs i OOPP de l'Estat",0.0,0.0,0.0,0.0
75060,Altres transferències de capital - Convenis amb CAIB,2516705.22,1800000.0,4316705.22,1827953.21
75080,CAIB - Altres transferències de Capital de la CA,12542080.69,980000.0,13522080.69,5813270.43
75100,D'organismes autònoms i agències de les comunitats autònomes,0.0,0.0,0.0,75057.21
75300,"Transferències de capital de SM, EPE i altres OOPP autonòm.",0.0,0.0,0.0,0.0
76200,Cofinançament Pèrgoles Fotovoltaiques,1020673.72,0.0,1020673.72,0.0
76206,Transf. capital d'ajuntaments - Vehicle servei seg. i salut,0.0,0.0,0.0,3766.81
76700,Transferències de capital de consorcis,0.0,0.0,0.0,42.66
77000,D'empreses privades,0.0,0.0,0.0,17000.0
82120,Reintegrament préstecs d'entitats locals,0.0,0.0,0.0,19325.04
83000,Reintegrament prèstecs,275000.0,0.0,275000.0,112365.0
83001,Reintegrament prèstec Queseria Menorquina,0.0,0.0,0.0,20625.0
84000,Devolució de dipòsits,0.0,0.0,0.0,726.0
84002,Devolució dipòsits,0.0,0.0,0.0,166719.11
84100,Devolució de fiances,0.0,0.0,0.0,42809.85
87000,Romanent de tresoreria per a despeses generals,0.0,13385731.37,13385731.37,0.0
87010,Romanent de tresoreria per a despeses amb finançament afecta,0.0,1012259.44,1012259.44,0.0
91300,Préstecs,1900000.0,0.0,1900000.0,0.0
91301,Préstecs rebuts a llarg term. d'ens de fora del sector públi,0.0,0.0,0.0,0.0
