#Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
55002.0,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,10000.0,0.0,10000.0,4031.99
59901.0,Altres ingressos patrimonials. Col. Econòmiques IGA,0.0,0.0,0.0,0.0
68000.0,REINTEGRAMENT OPERACIONS D'EXERCICIS TANCATS.,0.0,0.0,0.0,31719.88
72000.0,Estat - Carreteres,5251580.0,0.0,5251580.0,0.0
72390.0,"Transferències capital de societats, EPEs i OOPP de l'Estat",0.0,0.0,0.0,0.0
75060.0,Altres transferències de capital - Convenis amb CAIB,2516705.22,0.0,2516705.22,27953.21
75080.0,CAIB - Altres transferències de Capital de la CA,12542080.69,980000.0,13522080.69,5613270.43
75100.0,D'organismes autònoms i agències de les comunitats autònomes,0.0,0.0,0.0,75057.21
76200.0,Cofinançament Pèrgoles Fotovoltaiques,1020673.72,0.0,1020673.72,0.0
76700.0,Transferències de capital de consorcis,0.0,0.0,0.0,0.0
77000.0,D'empreses privades,0.0,0.0,0.0,17000.0
82120.0,Reintegrament préstecs d'entitats locals,0.0,0.0,0.0,0.0
83000.0,Reintegrament prèstecs,275000.0,0.0,275000.0,111366.0
83001.0,Reintegrament prèstec Queseria Menorquina,0.0,0.0,0.0,20625.0
84002.0,Devolució dipòsits,0.0,0.0,0.0,333438.22
87000.0,Romanent de tresoreria per a despeses generals,0.0,6310822.59,6310822.59,0.0
87010.0,Romanent de tresoreria per a despeses amb finançament afecta,0.0,592454.04,592454.04,0.0
91300.0,Préstecs,1900000.0,0.0,1900000.0,0.0
91301.0,Préstecs rebuts a llarg term. d'ens de fora del sector públi,0.0,0.0,0.0,0.0
