#Econ.,Denominación,Previsiones Iniciales
10000.0,Impost sobre la renda IRPF,1028389.31
17100.0,Recàrrec IAE,450000.0
21000.0,Impost sobre el Valor afegit (IVA),1491590.59
22000.0,Impost sobre l'alcohol i begudes derivades,15909.78
22001.0,Impost especial sobre la cervesa,5414.02
22003.0,Impost especial sobre el tabac,135213.57
22004.0,Impost especial sobre el combustible,184711.75
22006.0,Altres imposts especials,469.08
30900.0,Taxa Incendis,14200.0
31100.0,Taxes Discapacitats,162000.0
31110.0,Taxes Residència de Gent Gran,780000.0
31130.0,Taxes Centre de dia d'Alzheimer,85000.0
32000.0,Taxes transferència caça i pesca fluvial,110000.0
32200.0,Taxes Habitabilitat,25000.0
32300.0,Taxes Ordenació Territorial i Urbanisme,10000.0
32500.0,Taxes Expedició de documents,3000.0
32900.0,Taxes Centre acollida animals,25000.0
32901.0,Taxes ITV,1323498.85
32920.0,Taxes Transports,38000.0
32930.0,Taxes Ordenació Turística,80000.0
32940.0,Taxes Agricultura i Pesca,75000.0
32950.0,Taxa Artesania,1000.0
34100.0,PP.Serveis especials,35000.0
34200.0,Educació de persones adultes,32000.0
34201.0,Matrícules Escola Art Dramàtic de Menorca,4000.0
34310.0,Esports: Gabinet de Medicina Esportiva,3400.0
34900.0,Productes Museu de Menorca,14000.0
36000.0,Venda Llibres,100.0
36001.0,Venda de productes de la granja escola,15000.0
39190.0,Sancions,150000.0
39211.0,Recàrrec de constrenyiment,2000.0
39900.0,Recursos eventuals,40000.0
39910.0,Reintegrament anuncis contractació,10000.0
42010.0,Fons complementari de Finançament,13252229.74
42090.0,Programa d'oci juvenil,25000.0
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0
42200.0,Transferències corrents de fundacions estatals- Plemar-Mareb,65113.13
42300.0,Participació traveses,85000.0
42390.0,Altres organismes estatals,103000.0
45001.0,CAIB - Altres transferències incondicionades,43154551.0
45002.0,CAIB - Convenis en matèria d'acció social,1739017.28
45030.0,CAIB - Convenis en matèria d'educació,20000.0
45050.0,CAIB - Convenis en matèria de formació,0.0
45060.0,CAIB - Altres convenis subscrits amb la CAIB,1806500.0
45080.0,Altres subvencions CAIB (Sense conveni),1684468.68
45100.0,Conveni ATIB Organització Congrés Espanyol d'Ecoturisme 2020,18000.0
45200.0,Transferències de fundacions autonòmiques-IGA Menorca,30000.0
45300.0,Posam valor a l'esport,30000.0
46200.0,Extinció i prevenció d'incendis,1020455.02
46201.0,Ajuntaments - Biblioteques,74000.0
46202.0,Ajuntaments - Educació d'Adults,253654.08
46203.0,Ajuntaments - Serveis educatius educació primarenca,32173.35
46204.0,Ajuntaments - Protecció Animal,84377.0
46205.0,Ajuntaments - Monuments Arquelògics,53333.33
46206.0,Ajuntaments - Servei de riscos laborals,103411.49
46207.0,Ajuntaments - Neteja de platges,600000.0
46208.0,Ajuntaments - Manteniment carreteres,110986.82
46212.0,IDE Menorca,49000.0
46213.0,Universitat Oberta Majors - Ajuntaments,8400.0
47000.0,Conveni asseguradora incendis,391012.0
48000.0,Herència canera,30510.72
49000.0,Projecte Europeu Insulae,24452.09
52000.0,Interessos,8500.0
54900.0,Cessió d'ús parcial WIMAX,42600.0
54901.0,Cessió d'us xarxa fibra óptica,15000.0
55002.0,Cànon explotació Bar-Cafeteria Estació Autobusos Maó,8400.0
60967.0,Conveni APB-CIM,0.0
72000.0,Estat - Carreteres,6445580.0
75060.0,Altres transferències de capital - Convenis amb CAIB,3160958.57
75080.0,CAIB - Altres transferències de Capital de la CA,12414111.86
75300.0,Conveni APB - CIM,500000.0
76200.0,Pèrgoles Fotovoltaiques,510336.86
83000.0,Reintegrament prèstecs,275000.0
91300.0,Préstecs,13000000.0
