#Econ.,Denominación,Previsiones Iniciales
10000.0,Impost sobre la renda IRPF,1186174.32
17100.0,Recàrrec IAE,450000.0
21000.0,Impost sobre el valor afegit (IVA),1817020.16
22000.0,Impost sobre l'alcohol i begudes derivades,21274.48
22001.0,Impost especial sobre la cervesa,6000.64
22003.0,Impost especial sobre el tabac,105772.24
22004.0,Impost especial sobre el combustible,181793.96
22006.0,Altres imposts especials,675.68
30900.0,Taxa incendis,15000.0
31100.0,Taxes Discapacitats,175000.0
31110.0,Taxes Residència de Gent Gran,810000.0
31130.0,Taxes Centre de dia d'Alzheimer,57000.0
32000.0,Taxes transferència caça i pesca fluvial,110000.0
32200.0,Taxes Habitabilitat,45000.0
32300.0,Taxes Ordenació Territorial i Urbanisme,8000.0
32500.0,Taxes Expedició de documents,3000.0
32900.0,Taxes Centre d'acollida d'animals,28000.0
32901.0,Taxes ITV,1323498.85
32920.0,Taxes Transports,40000.0
32930.0,Taxes Ordenació Turística,50000.0
32940.0,Taxes Agricultura i Pesca,75000.0
32950.0,Taxes Artesania,1000.0
33900.0,Taxa per ús espai Museu de Menorca,700.0
33901.0,Taxa per servei visites Llatzeret,15000.0
33902.0,Taxa per ús espai Llatzeret,20000.0
34100.0,P.P. Serveis especials,10000.0
34200.0,Educació de persones adultes,60000.0
34201.0,Matrícules Escola Art Dramàtic de Menorca,6000.0
34310.0,Esports: Gabinet de Medicina Esportiva,5000.0
34400.0,Entrades Fira Arrels,20000.0
34900.0,Productes Museu de Menorca,7500.0
34901.0,Marca Reserva de la Biosfera,20000.0
36000.0,Venda llibres,3100.0
36001.0,Venda de productes de la granja escola,15000.0
39191.0,Sancions Transports,70000.0
39192.0,Sancions Turisme,550000.0
39193.0,"Sancions agricultura, ramaderia, pesca i caça",8500.0
39195.0,Sancions Medi Natural,3000.0
39211.0,Recàrrec de constrenyiment,4000.0
39900.0,Recursos eventuals,50000.0
42010.0,Fons complementari de finançament,17079707.2
42090.0,Altres transf. corrents de l'Admin. General de l'Estat,3520000.0
42190.0,Gestió i conservació Finca Alforí de Dalt,80000.0
42300.0,Participació travesses,85000.0
42390.0,Altres organismes estatals,106000.0
45001.0,CAIB - Altres transferències incondicionades,67638337.28
45002.0,CAIB - Convenis en matèria d'acció social,1825282.17
45030.0,CAIB - Convenis en matèria d'educació,191721.0
45060.0,CAIB - Altres convenis subscrits amb la CAIB,1558500.0
45080.0,CAIB - Altres subvencions (sense conveni),973115.72
46200.0,Extinció i prevenció d'incendis,1358070.0
46201.0,Ajuntaments - Biblioteques,78000.0
46202.0,Ajuntaments - Educació de persones adultes,253654.08
46203.0,Ajuntaments - Serveis atenció educativa infantil,68521.96
46204.0,Ajuntaments - Protecció animal,208250.0
46205.0,Ajuntaments - Monuments arqueològics,53333.33
46206.0,Ajuntaments - Servei de riscos laborals,107551.7
46207.0,Ajuntaments - Neteja de platges,592193.41
46208.0,Ajuntaments - Manteniment carreteres,177592.73
46212.0,IDE Menorca,49000.0
46213.0,Ajuntaments - Universitat Oberta Majors,8400.0
47000.0,Conveni Asseguradora Incendis,410000.0
48000.0,Herència canera,30510.72
49700.0,Altres transferències de la Unió Europea,25940.5
49751.0,Altres transferències de la UE MRR via CCAA,115293.39
52000.0,Interessos,300000.0
53410.0,Dividends i participació beneficis de societats no depenents,800.0
55002.0,Cànon explotació Bar-cafeteria estació autobusos Maó,4800.0
72000.0,Transferències de capital de l'Administració de l'Estat,10624000.0
75060.0,Altres transferències de capital - Convenis amb CAIB,2630000.0
75080.0,CAIB - Altres transferències de Capital de la CA,14466117.91
79751.0,Altres transferències de la UE MRR via CCAA,193128.07
83000.0,Reintegrament préstecs,350000.0
91300.0,Préstecs,30000000.0
